Sentences,Aspects,Aspects Sentiment
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سعاد ,,
 يوم الجمعة م م الفترة المسائية السبت للأربعاء م م ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد سيف ,,
 تم الرد ال عبداللطيف ,,
 تم الرد الرسائل عمر ,,
 بنعتذر تجربتك ممكن تتابعنا الرسائل لتوضيح الرقم والتفاصيل وهيتم مساعدتك جاسر ,,
 تم الرد ال ايرينى ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة اندرو ,خدمة,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل منار ,,
 بنعتذر تجربتك ممكن تتابعنا الرسائل لتوضيح الرقم والتفاصيل وهيتم مساعدتك جاسر ,,
 تم الرد الرسائل عمر ,,
 احنا بنتابعك الرسائل برجاء المراجعة تم الرد جميل ,,
 بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا بالرسائل للمساعده دينا ,خدمة,1
بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك ماريهان ,خدمة,1
الان الخدمة غير متاحة وهيتم الاعلان فور توفرها جميع الوسائل المتاحة دوماديوس ,"خدمة،الوسائل","-1,1"
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل عمر ,,
 اورنج قاطعة خدمة الانترنت بلدنا ,خدمة الانترنت,-1
بتكون شهرية لحد ما يتم عمل اي معاملة مالية كريم ,,
 بنعتذر تجربتك وبرجاء المتابعة الرسائل لمساعدتك كريم ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ساره ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك طارق ,خدمة,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل سعاد ,,
 شاهدوا هذا الموضوع يا متابعي الصفحة دخلت الخاص وشرحت المشكلة ولا حلالموظفين بيشتغلونيكل شوية رسالة يهمنا خدمتك بس حل المشكلة مفيش ,,
 طبعا الخصم ده هيكون للكل ,,
 عشان نقدر نراجع الخط استأذنك هنحتاج يتم توضيح الرقم والتفاصيل الرسائل رمضاناربيع جهاد ,,
 تقريبا كدة لموا فلوس العملاء وعملوا بيها شهايد الفايدة ,,
 بعد اذنكم تردوا باقي الرسائل ,,
 ضجيج طحن ولا فايدة ,,
 اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة ليلي ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك سعاد ,خدمة,1
احنا بنعتذرلك جدا بالفعل تابعنا الرسايل استفسار تاني وضحلناا نساعدك تأكد اننا يهمنا رضائك نور ,رضا,1
احنا بنتابعك الرسائل برجاء المراجعة تم الرد الاء ,,
 اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة نورهان ,,
 رديت يا اندرو ,,
 دي مصاريف للخدمة تطبق الحسابات الراكدة لتجنب مصاريف الخدمة يمكنك عمل اى معاملة مالية محفظتك كريم ,الحسابات,-1
رسالتك وصلتنا بيتم الرد برجاء المراجعة مي ,,
 بنعتذرلك تجربتك احنا بنتابعك الرسائل رغده ,,
 بالفعل بيتم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك ضياء ,خدمة,1
لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة هبه ,خدمة,1
تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك جنة ,خدمة,1
احنا بنتابعك الرسائل برجاء المراجعة تم الرد سيف ,,
 طيب انا بعت عايز ايه ,,
 هل حد زي كل ما اكلم ال بتاعت مش بلاقي حد بيرد ولا انا بس ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل عبداللطيف ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ساره ,,
 تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك نهلة ,خدمة,1
لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة ساره ,خدمة,1
اهلا بك بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة أي استفسار تانى ممكن تبعتهولنا عشان نساعدك شهاب ,خدمة,1
تم الرد الرسائل عمر ,,
 رديت يا اندرو ,,
 اهلا بك هل سجلنا بالرقم حساب جديد الموقع تطبيق برجاء المتابعة بالرقم والتفاصيل الرسائل كريم ,حساب,1
اهلا بك رسالتك وصلتنا بيتم الرد برجاء المراجعة سابا ,,
 تم الرد المتابعه الرسائل اسلام ,,
 لإن يهمنا تقديم أفضل خدمة بنتابعك بالرد الرسائل برجاء المراجعة ساره ,خدمة,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ساره ,,
 الان الخدمة غير متاحة يا فندم وهيتم الاعلان فور توفرها جميع الوسائل المتاحة امام ,"خدمة،الوسائل","1,-1"
مساء الخير بنعتذرلك اى مشكله واجهتك بيتم المتابعه معاك الرسائل رغده ,,
 بنعتذر تجربتك ممكن تتابعنا الرسائل لتوضيح الرقم والتفاصيل وهيتم مساعدتك جاسر ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل رضوى ,,
 انا شحنت ورصيدي اتسحب غير ما اعرف اتحسب ايه انا عايز اعرف السبب اعرف كمان اي خدمات مشترك والغيها تكرمتم عشان كلمت خدمة العملا واضح انهم لسه نايمين محدش بيرد ,,
 بيتم المتابعه الرسائل مندور ,,
 نتمني دايما نكون عند حسن ظنك اسلام ,ظن,1
سمحت مشكلة عندي الرصيد كل ما اشحن الرصيد بيتخصم طول ,,
 برجاء التواصل وتسجيل شكواكم طريق رقم ملاء استمارة ببيانات الشكوي الرابط التالي ,,
 بالفعل تم المتابعة الرسائل عشان نضمنلك احسن خدمة اى استفسار تانى ممكن تبعتهولنا عشان نساعدك محمود ,خدمة,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل مها ,,
 إمبارح حصل معايا موقف كويس كان عندي مشكله باقة الانترنت وكلمتهم قدمت شكوى الموظف اللي رد عليا كان ذوق ولطيف جدا أقل ساعه كلمتني موظفة مرتين وتتابع معايا حل المشكله بجد شكرا ان اورانج رجعت تاني لمستوى عالي خدمه العملاء ,موقف,1
إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل ده للمراجعه بشكل أفضل دينا ,,
 إحنا هنا لمساعدتك يهمنا الرد ممكن توضيح الرقم والتفاصيل الرسائل للمراجعه بشكل افضل ساره ,,
 مدربين تماما عدم حل اي مشكلة وكدابين وخدمة زي الزفت طيب نكلم مين الشركة خطأ تعمله الشركة وترفض حله وتم عمل شكوي الجهاز القومي لتنظيم الاتصالات حد يعرف سكة بمقاضاة الشركة لما لحق بي أضرار وطلب تعويض عدة ملايين ,خدمة ,-1
